title,year,realized_circ,n_quotes
Saw,2004,10.925432896110584,4
Scott Pilgrim vs. the World,2010,8.64544129646861,4
Shang-Chi and the Legend of the Ten Rings,2021,5.045478017214166,4
Shazam! Fury of the Gods,2023,6.28152020491908,4
Shrek,2001,9.10641310952395,4
Shrek 2,2004,6.519504603292106,4
Shrek Forever After,2010,7.018509926559521,4
Shrek the Third,2007,7.112551770357769,4
Sing,2016,6.572181093490034,4
Sing 2,2021,5.961966276453751,4
Snow White and the Seven Dwarfs,1937,7.494790283416193,4
Solo: A Star Wars Story,2018,9.855662367835983,4
Speed Racer,2008,6.034111131558361,4
Spider-Man,2002,4.8767088060956105,4
Spider-Man 2,2004,4.8767088060956105,4
Spider-Man 3,2007,8.694807190413838,4
Spider-Man: Far From Home,2019,7.858547803809874,4
Spider-Man: Homecoming,2017,4.674355020620477,2
Spider-Man: No Way Home,2021,9.047713036690034,4
Spring Breakers,2012,11.225123052868819,4
Star Wars: The Force Awakens,2015,10.391315354335246,4
Star Wars: The Last Jedi,2017,10.370244564944157,4
Sunshine,2007,3.0206907851023597,4
Swiss Army Man,2016,3.77108475661372,4
Tangerine,2015,10.816366864043875,2
Tangled,2010,8.511028931860606,4
Terminator: Dark Fate,2019,7.260646138459369,4
The Adventures of Pluto Nash,2002,3.734922846443021,4
The Amazing Spider-Man,2012,8.450049965085139,4
The Blair Witch Project,1999,3.7306035654766823,4
The Book of Life,2014,6.142810000250994,4
The Boondock Saints,1999,7.421378044137857,2
The Croods,2013,7.442714808882241,4
The Croods: A New Age,2020,6.800872991766416,4
The Dark Crystal,1982,3.0755357814800184,4
The Dark Knight,2008,10.912745003112535,4
The Dark Knight Rises,2012,8.805642472457013,4
The Fate of the Furious,2017,10.183451147339111,4
The Flash,2023,4.211160625714496,4
The Fountain,2006,8.176000050393496,4
The Happening,2008,7.643149384226285,4
The Hateful Eight,2015,6.123771754606811,4
The Incredibles,2004,6.126644478047713,4
The Iron Giant,1999,8.795197511459424,4
The Jungle Book,1967,3.8300902581351406,4
The Lighthouse,2019,5.255477376280835,4
The Lion King (2019),2019,7.84706150427775,4
The Lone Ranger,2013,8.698695800949102,4
The Lost World: Jurassic Park,1997,6.474463441546443,4
The Marvels,2023,4.658111054823155,4
The Mummy Returns,2001,6.88913206092315,4
The Mummy: Tomb of the Dragon Emperor,2008,3.525511353796357,4
The Nice Guys,2016,5.932620831318275,4
The Princess Bride,1987,7.524103210862364,4
The Revenant,2015,7.551326037095447,4
The Secret Life of Pets 2,2019,6.864309953844686,4
The Thing,1982,8.074316458853295,4
The Witch,2015,10.144530933060723,4
The Wolf of Wall Street,2013,9.049748826031339,4
The Wolverine,2013,7.969535190312068,4
There Will Be Blood,2007,8.807488955688129,4
This Is Spinal Tap,1984,9.451255185396684,4
Thor,2011,4.479965804335097,4
Thor: Love and Thunder,2022,7.607909655822085,4
Thor: The Dark World,2013,8.255073410782854,4
Titanic,1997,8.26401306347143,4
Tomorrowland,2015,9.639670921490945,4
Top Gun: Maverick,2022,8.745066865097382,4
Toy Story,1995,13.869017984429817,4
