title,year,star_power,director,runtime,original_language,release_month,release_season,is_adaptation,n_cast
Ant-Man and the Wasp,2018,3.525033333333333,Peyton Reed,119.0,en,7.0,Summer,1,76
Black Widow,2021,7.3680666666666665,Cate Shortland,134.0,en,7.0,Summer,1,81
Captain Marvel,2019,3.7151333333333336,Ryan Fleck,124.0,en,3.0,Spring,1,52
Spider-Man: Homecoming,2017,6.617233333333334,Jon Watts,133.0,en,7.0,Summer,1,82
Spider-Man: Far From Home,2019,6.288666666666667,Jon Watts,129.0,en,6.0,Summer,1,140
The Amazing Spider-Man,2012,4.693466666666667,Marc Webb,136.0,en,6.0,Summer,1,53
The Amazing Spider-Man 2,2014,4.886666666666667,Marc Webb,141.0,en,4.0,Spring,1,75
Spider-Man 3,2007,4.9334999999999996,Sam Raimi,139.0,en,5.0,Spring,1,120
Spider-Man 2,2004,5.4515,Sam Raimi,127.0,en,6.0,Summer,1,115
Spider-Man,2002,5.233333333333333,Sam Raimi,121.0,en,5.0,Spring,1,93
Venom,2018,4.113133333333334,Ruben Fleischer,112.0,en,9.0,Fall,1,61
Venom: Let There Be Carnage,2021,4.846866666666667,Andy Serkis,97.0,en,9.0,Fall,1,54
X-Men Origins: Wolverine,2009,3.956,Gavin Hood,107.0,en,4.0,Spring,1,63
The Wolverine,2013,3.9361333333333337,James Mangold,126.0,en,7.0,Summer,1,59
Logan,2017,5.948566666666667,James Mangold,137.0,en,2.0,Winter,1,96
X-Men: Days of Future Past,2014,4.9586,Bryan Singer,132.0,en,5.0,Spring,1,83
X-Men: The Last Stand,2006,4.6749,Brett Ratner,104.0,en,5.0,Spring,1,61
X-Men: Apocalypse,2016,4.439,Bryan Singer,144.0,en,5.0,Spring,1,94
X-Men: Dark Phoenix,2019,3.831433333333333,Simon Kinberg,114.0,en,6.0,Summer,1,90
Deadpool,2016,5.372233333333333,Tim Miller,108.0,en,2.0,Winter,1,52
Deadpool 2,2018,6.324766666666666,David Leitch,120.0,en,5.0,Spring,1,71
Wonder Woman,2017,4.160866666666666,Patty Jenkins,141.0,en,5.0,Spring,1,82
Wonder Woman 1984,2020,3.764533333333333,Patty Jenkins,151.0,en,12.0,Winter,1,147
Batman v Superman: Dawn of Justice,2016,6.2302,Zack Snyder,152.0,en,3.0,Spring,1,134
Superman Returns,2006,2.4259,Bryan Singer,154.0,en,6.0,Summer,1,38
Man of Steel,2013,6.697133333333333,Zack Snyder,143.0,en,6.0,Summer,1,86
The Dark Knight,2008,3.4467666666666665,Christopher Nolan,152.0,en,7.0,Summer,1,138
The Dark Knight Rises,2012,6.8841,Christopher Nolan,165.0,en,7.0,Summer,1,167
Batman Begins,2005,4.8901666666666666,Christopher Nolan,140.0,en,6.0,Summer,1,111
Justice League,2017,7.342300000000001,Zack Snyder,120.0,en,11.0,Fall,1,98
Aquaman and the Lost Kingdom,2023,4.656466666666667,James Wan,124.0,en,12.0,Winter,0,41
Shazam! Fury of the Gods,2023,1.7131333333333334,David F. Sandberg,130.0,en,3.0,Spring,0,51
