title,year,n_quotes_measured,circ_sum,circ_top3,circ_max
Blade Runner,1982,4.0,7.939871576361883,6.47241301109879,7.2868764117507
Booksmart,2019,4.0,6.4425401664681985,5.13824146069235,5.356586274672012
Brazil,1985,4.0,6.115892125483034,4.827556825245275,5.6240175061873385
Brick,2005,4.0,7.27931883541462,4.982721596150969,6.673297967767654
Bumblebee,2018,4.0,9.545669097895317,8.289907486685925,9.005895898094458
Burning,2018,4.0,8.579980179515003,7.471064225068999,7.635786861395585
Captain America: Civil War,2016,4.0,15.707982406984504,12.778854466716915,15.206792709351392
Captain America: The First Avenger,2011,4.0,8.24380842366528,5.2750988362023525,7.993282328101591
Captain America: The Winter Soldier,2014,4.0,10.198095585058642,9.068901098384147,9.392745258631441
Captain Marvel,2019,4.0,12.873314666161262,11.502531718988719,12.456835254920371
Cars 2,2011,4.0,15.253947315382636,12.803911878244095,14.946912992035967
Cars 3,2017,4.0,10.656670946540133,5.786094426759625,10.650199196425806
Cats,2019,4.0,5.755742213586912,4.5218686166155075,4.8283137373023015
Catwoman,2004,4.0,8.660947155060933,7.150643142892544,8.30671904320269
Charlotte's Web,2006,4.0,5.176149732573829,2.3150170212419448,5.153291594497779
Children of Men,2006,4.0,8.746398334109042,7.504425524009939,8.166500319155052
Chronicle,2012,4.0,9.806866513931702,7.824100435724951,9.367429587218957
Cinderella,1950,4.0,17.393747152709448,12.939150511704264,17.151280169891162
City of God,2002,4.0,8.809713540508268,6.67710528448666,8.627123250788433
Cleopatra,1963,4.0,8.253488028345904,6.806140895078793,7.844240718141811
Clerks,1994,4.0,11.617987936217231,9.434483496004784,11.477308649967686
Coco,2017,4.0,16.69710490686541,13.802033823206623,16.128046080821385
Coherence,2013,4.0,6.037870919922137,4.742165466248378,5.5909869805108565
Curious George,2006,4.0,10.03289168974739,8.55011283681313,9.692828247710418
Dark City,1998,4.0,13.564858338945836,7.672668301844548,13.564483088506746
Deadpool,2016,4.0,8.10832229017324,6.735641623869143,7.696667081526462
Deadpool 2,2018,4.0,9.450380370950123,6.88039814086278,9.249657234353133
Despicable Me,2010,4.0,13.35267795533679,7.312682507129132,13.351888125506433
Despicable Me 2,2013,4.0,11.161181202361705,7.531487745361239,11.150534214035387
Despicable Me 3,2017,4.0,5.337538079701318,2.2364347800860997,5.3230099791384085
