title,year,status,imdb_id,subtitle_available,estimated_word_count,dialogue_line_count,avg_dialogue_length,longest_monologue_words,unique_character_count,sentiment_mean,sentiment_std,sentiment_peak,exclamation_ratio,question_ratio,profanity_score,vocabulary_richness,avg_sentence_complexity,humor_indicator,romance_indicator,violence_indicator,short_punchy_count,short_punchy_density,rare_proper_noun_count,sentiment_spike
Hocus Pocus,1993,success,tt0107120,True,6895.0,1251.0,5.511590727418065,19.0,0.0,0.0005540475000201337,0.14616950047258853,1.0,0.3269384492406075,0.15987210231814547,2.050113895216401,0.2945330296127563,3.8114980652294084,1.1389521640091116,7.289293849658315,8.88382687927107,507.0,0.4052757793764988,282.0,2.0
The Iron Giant,1999,success,tt0129167,True,5804.0,973.0,5.965056526207605,16.0,0.0,-0.0183968267087486,0.17263992130304692,1.0,0.20863309352517986,0.2117163412127441,2.0114942528735633,0.3135057471264368,4.267647058823529,0.28735632183908044,5.747126436781609,10.919540229885058,399.0,0.41007194244604317,223.0,1.6666666666666665
Treasure Planet,2002,success,tt0133240,True,7440.0,1340.0,5.552238805970149,14.0,0.0,0.0005955155955155955,0.11938916285969452,1.0,0.2380597014925373,0.1291044776119403,0.20933640360058617,0.317144651454888,4.787644787644788,0.41867280720117234,3.3493824576093787,2.5120368432070337,500.0,0.373134328358209,271.0,1.5
Children of Men,2006,success,tt0206634,True,7371.0,988.0,7.4605263157894735,19.0,0.0,-0.005502847602901187,0.1359820285680675,1.0,0.19129554655870445,0.21052631578947367,26.995846792801107,0.30226119058606365,4.3875,0.6922011998154131,10.613751730503,9.460083064143978,325.0,0.32894736842105265,246.0,1.5
Snatch,2000,no_subtitle,tt0208092,False,,,,,,,,,,,,,,,,,,,,
"Lock, Stock and Two Smoking Barrels",1998,success,tt0120735,True,10374.0,1513.0,6.8565763384005285,18.0,0.0,-0.005635822464969854,0.08236430636506784,1.0,0.05023132848645076,0.2293456708526107,27.134348113831898,0.26091992058239577,6.463551401869159,1.654533421575116,0.9927200529450695,8.107213765718067,463.0,0.30601454064771977,259.0,1.0
Trainspotting,1996,success,tt0117951,True,8269.0,1383.0,5.9790310918293565,14.0,1.0,-0.008154069759275833,0.1403455157651295,1.0,0.07447577729573392,0.22125813449023862,27.590435315757205,0.35234007766196607,6.0138181818181815,0.4087471898630697,6.33558144287758,3.065603923973023,442.0,0.3195950831525669,299.0,1.1111111111111112
Requiem for a Dream,2000,success,tt0180093,True,7163.0,1122.0,6.384135472370766,17.0,2.0,0.008693340478099837,0.1221272975579466,1.0,0.0035650623885918,0.2522281639928699,19.538606403013183,0.24034839924670434,4.571155073388641,0.0,9.651600753295668,2.1186440677966103,436.0,0.38859180035650626,153.0,1.0
Dredd,2012,success,tt1343727,True,4969.0,902.0,5.508869179600887,17.0,0.0,-0.00746125333154158,0.12629771868043194,1.0,0.05543237250554324,0.13636363636363635,20.174848688634835,0.37794216543375925,5.165280665280665,0.6724949562878278,1.3449899125756557,18.15736381977135,379.0,0.42017738359201773,263.0,1.3333333333333333
Edge of Tomorrow,2014,success,tt1631867,True,8226.0,1346.0,6.1114413075780085,16.0,0.0,-0.003650933637932152,0.12544256403026277,1.0,0.1537890044576523,0.16567607726597325,6.58030022619782,0.26629652477894306,4.700571428571428,0.8225375282747275,0.8225375282747275,17.47892247583796,573.0,0.42570579494799404,267.0,1.2
Blade Runner 2049,2017,success,tt1856101,True,5309.0,1110.0,4.782882882882883,14.0,1.0,0.0034974259974259975,0.14452483361627935,1.0,0.009009009009009009,0.17477477477477477,2.9930162953109414,0.3731293648154307,4.757168458781362,0.3325573661456601,7.981376787495843,6.651147322913203,508.0,0.45765765765765765,209.0,2.0
The Nice Guys,2016,success,tt3799694,True,11012.0,1867.0,5.898232458489556,16.0,0.0,-0.006641935699246894,0.10937989105818362,1.0,0.04499196572040707,0.23460096411355116,21.96958058073437,0.24212628667998157,4.746551724137931,1.0754340144415424,2.9190351820556155,10.754340144415425,658.0,0.35243706480985537,285.0,1.3333333333333333
Annihilation,2018,success,tt2798920,True,5032.0,914.0,5.5054704595186,15.0,1.0,-0.01678881233038782,0.16867241896264504,1.0,0.05908096280087528,0.2013129102844639,10.938602681721948,0.38073394495412843,4.629254829806808,0.35285815102328866,4.940014114326042,6.704304869442485,390.0,0.42669584245076586,169.0,1.3333333333333333
Sorry to Bother You,2018,success,tt5688932,True,11102.0,1827.0,6.076628352490421,15.0,1.0,0.007749405614758653,0.12654595630567728,1.0,0.11822660098522167,0.13738368910782703,47.935883865114164,0.27219113866626343,5.241737488196412,0.9073037955542114,6.804778466656586,2.2682594888855285,693.0,0.3793103448275862,330.0,1.0
Swiss Army Man,2016,success,tt4034354,True,6348.0,1081.0,5.872340425531915,17.0,1.0,-0.00930439177432702,0.1422722277408666,1.0,0.07215541165587419,0.1887141535615171,9.782001117942986,0.2649524874231414,5.254966887417218,2.515371716042482,6.987143655673561,4.192286193404136,349.0,0.3228492136910268,121.0,1.0
The Lighthouse,2019,success,tt7984734,True,4455.0,738.0,6.036585365853658,17.0,1.0,-0.019270888325766376,0.14673631551562355,1.0,0.13821138211382114,0.14769647696476965,11.900468806346916,0.41759826902271907,5.367469879518072,1.0818608005769925,2.163721601153985,4.688063469166967,277.0,0.37533875338753386,181.0,1.0833333333333333
Mandy,2018,success,tt6998518,True,2426.0,511.0,4.747553816046967,20.0,0.0,-0.007131985214176995,0.16309700908807506,1.0,0.03913894324853229,0.11545988258317025,9.796533534287867,0.5162019593067069,4.263620386643233,0.0,11.303692539562924,3.7678975131876413,289.0,0.5655577299412916,102.0,1.4
Hackers,1995,success,tt0113243,True,6292.0,1024.0,6.14453125,17.0,0.0,0.005007622585747586,0.13019838488261837,1.0,0.138671875,0.212890625,7.524454477050414,0.3982944569852019,4.814078041315991,0.0,3.0097817908201656,3.511412089290193,371.0,0.3623046875,390.0,1.0
Empire Records,1995,success,tt0112950,True,6862.0,1112.0,6.170863309352518,21.0,2.0,0.010662037998566609,0.1342137396094541,1.0,0.08003597122302158,0.256294964028777,9.70873786407767,0.2963719979560552,4.755370755370755,2.2994379151762905,8.686765457332651,3.832396525293817,409.0,0.36780575539568344,194.0,1.1
Dazed and Confused,1993,success,tt0106677,True,11122.0,1462.0,7.607387140902873,23.0,1.0,0.0023397483091040835,0.1021193899014837,1.0,0.16963064295485636,0.28317373461012313,21.917007597895967,0.22647574517825833,4.349628470864294,0.5844535359438924,3.652834599649328,2.6300409117475163,438.0,0.29958960328317374,324.0,1.1666666666666667
