title,year,status,imdb_id,subtitle_available,estimated_word_count,dialogue_line_count,avg_dialogue_length,longest_monologue_words,unique_character_count,sentiment_mean,sentiment_std,sentiment_peak,exclamation_ratio,question_ratio,profanity_score,vocabulary_richness,avg_sentence_complexity,humor_indicator,romance_indicator,violence_indicator,short_punchy_count,short_punchy_density,rare_proper_noun_count,sentiment_spike
Madagascar 3,2012,success,tt1277953,True,7196.0,1188.0,6.057239057239057,18.0,1.0,-0.0040864173402794,0.1466742765256821,1.0,0.4343434343434343,0.1801346801346801,0.0,0.3197647058823529,4.4723430702299565,0.9411764705882352,9.411764705882351,2.352941176470588,482.0,0.4057239057239057,288.0,1.5
Kung Fu Panda 3,2016,success,tt2267968,True,7239.0,1470.0,4.924489795918367,13.0,0.0,0.0024902818270165,0.1796152575624391,1.0,0.2605442176870748,0.1809523809523809,0.0,0.2637231503579952,4.278368794326241,1.1933174224343677,6.921241050119332,7.398568019093079,647.0,0.4401360544217687,247.0,2.0
Rise of the Guardians,2012,success,tt1446192,True,6434.0,1267.0,5.078137332280979,15.0,0.0,-0.0161544694891182,0.1541605574919862,1.0,0.2888713496448303,0.2020520915548539,0.0,0.2637774210807919,4.362033898305085,1.070090957731407,6.153023006955591,2.675227394328518,532.0,0.4198895027624309,193.0,1.5
The Croods,2013,success,tt0481499,True,5176.0,1021.0,5.069539666993144,16.0,1.0,-0.0160323543036569,0.1879018062961268,1.0,0.2135161606268364,0.1586679725759059,0.0,0.2769491525423729,3.9693251533742338,2.7118644067796613,6.779661016949152,2.7118644067796613,488.0,0.4779627815866797,152.0,1.5
The Croods: A New Age,2020,success,tt2850386,True,8818.0,1620.0,5.44320987654321,18.0,0.0,-0.0023486064689768,0.1315849952130502,1.0,0.2450617283950617,0.2067901234567901,0.0,0.2415108737123235,4.219138755980861,0.7630675314765357,13.54444868370851,4.578405188859214,645.0,0.3981481481481481,210.0,1.1666666666666667
Megamind,2010,success,tt1001526,True,8795.0,1361.0,6.462160176340926,21.0,12.0,-0.004587076108881,0.1238060258772523,1.0,0.1072740631888317,0.1616458486407053,0.0,0.308010234205865,5.310990338164252,3.148986419996064,5.707537886242866,6.494784491241881,543.0,0.3989713445995591,254.0,1.1666666666666667
Trolls,2016,success,tt1679335,True,8392.0,1678.0,5.00119189511323,14.0,1.0,-0.0053987497074505,0.1532740826852374,1.0,0.2169249106078665,0.1132300357568533,0.0,0.221010101010101,5.521052631578947,0.8080808080808081,8.080808080808081,2.2222222222222223,602.0,0.3587604290822407,188.0,1.25
Trolls World Tour,2020,success,tt6587640,True,9685.0,1869.0,5.181915462814339,13.0,1.0,0.0034239243308264,0.1335954967777463,1.0,0.1187800963081862,0.1054039593365436,0.3373819163292847,0.2294197031039136,6.937679083094556,0.6747638326585694,10.964912280701752,2.3616734143049936,522.0,0.2792937399678972,272.0,1.1
Kung Fu Panda,2008,success,tt0441773,True,5793.0,977.0,5.929375639713409,18.0,2.0,-0.0030957598639277,0.1746772481997037,1.0,0.2282497441146366,0.1821903787103377,0.0,0.3003402412619858,4.619617224880383,1.546551190844417,1.546551190844417,8.042066192390969,385.0,0.3940634595701126,167.0,1.3333333333333333
Kung Fu Panda 2,2011,success,tt1302011,True,5401.0,875.0,6.172571428571429,18.0,2.0,-0.0053229405515119,0.1637793995336403,1.0,0.2754285714285714,0.2057142857142857,0.0,0.3208692873122403,4.408979591836735,0.9587727708533076,5.113454777884308,14.381591562799615,328.0,0.3748571428571428,196.0,1.25
How to Train Your Dragon,2010,success,tt0892769,True,5620.0,872.0,6.444954128440367,16.0,1.0,-0.0187790961586833,0.1771688812893135,1.0,0.2717889908256881,0.1513761467889908,0.6191950464396285,0.3331269349845201,4.587755102040816,0.9287925696594428,3.7151702786377703,18.88544891640867,337.0,0.3864678899082568,189.0,1.1
How to Train Your Dragon 2,2014,success,tt1646971,True,14675.0,2641.0,5.5566073457023855,15.0,1.0,-0.0286239865565878,0.1410115740527677,1.0,0.1279818250662627,0.074214312760318,0.0,0.1460127293148633,9.976206662134604,0.6239860227130912,30.57531511294147,3.743916136278547,667.0,0.2525558500567966,190.0,1.3333333333333333
How to Train Your Dragon 3,2019,success,tt1646971,True,14675.0,2641.0,5.5566073457023855,15.0,1.0,-0.0286239865565878,0.1410115740527677,1.0,0.1279818250662627,0.074214312760318,0.0,0.1460127293148633,9.976206662134604,0.6239860227130912,30.57531511294147,3.743916136278547,667.0,0.2525558500567966,190.0,1.3333333333333333
